spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
700.2570966669123,-1284.0,778.5669676828929,1616.0
689.5391279394388,-1284.0,745.6701262690458,183.01262690457952
806.9182548415929,1616.0,745.8064600285106,196.6460028510628
706.7961450146571,-1284.0,764.7239728415224,1616.0
691.986273504313,-1284.0,769.7363628314502,1616.0
694.7671858591891,-1284.0,710.4826198330085,-1284.0
722.461322239067,-1284.0,734.3864602513796,-945.3539748620383
750.8718566082129,703.1856608212852,700.8856741637132,-1284.0
687.3577377309485,-1284.0,773.4653641274678,1615.9999999999995
738.1793169242663,-566.0683075733655,764.4752990045449,1616.0
744.2461137272777,40.61137272777023,752.3506328452585,851.0632845258474
716.794635162224,-1284.0,737.2697384256072,-657.0261574392784
763.7325940913794,1616.0,806.5185340106697,1616.0
731.8267807649786,-1201.3219235021406,722.3338671922634,-1284.0
802.4918500386763,1616.0,667.6422797823082,-1284.0
775.5743345762033,1616.0000000000005,806.4887069258024,1616.0
718.3619653031847,-1284.0,803.3420589321706,1616.0
766.5392716413559,1616.0,746.2025022658574,236.2502265857447
733.5634058753969,-1027.6594124603062,749.6446688598971,580.4668859897138
750.3028955880994,646.2895588099432,866.121657258279,1616.0
701.6462723407186,-1284.0,761.5807466642415,1616.0
776.7242477116378,1616.0000000000005,724.1714655842258,-1284.0
767.2075817593944,1616.0,785.9284109033995,1616.0
757.8907872683179,1405.0787268317922,705.6997089291833,-1284.0
729.2211538340678,-1284.0,704.5547383268669,-1284.0
716.1414413906158,-1284.0,774.1168627240239,1616.0000000000005
764.253661915308,1616.0,806.9156645792398,1616.0
718.41058928627,-1284.0,766.6634532029639,1616.0
713.5385906544952,-1284.0,802.9159077328426,1616.0
735.7594826997434,-808.0517300256556,740.3713420029721,-346.8657997027858
731.2878164994074,-1255.2183500592573,700.1009153856651,-1284.0
737.8526318997918,-598.7368100208155,762.779788403908,1616.0
769.2876021632118,1616.0,788.3227386164551,1616.0
728.4570098200354,-1284.0,781.8635978384399,1616.0000000000005
688.7052069507494,-1284.0,824.829837931754,1616.0
723.1333197133882,-1284.0,768.6538672553457,1616.0
693.722597603929,-1284.0,735.9501526382255,-788.9847361774482
684.8358762457985,-1284.0,755.0425080269622,1120.2508026962196
786.5692523608441,1616.0,752.040517750646,820.0517750646018
811.1837806177986,1616.0,748.2437191749929,440.37191749928616
767.2871747059438,1616.0,741.727708938641,-211.22910613590557
717.331385874931,-1284.0,769.8004460422547,1616.0
741.2640098935263,-257.59901064736505,821.4950527201565,1615.999999999999
733.1132249822447,-1072.6775017755326,765.71153188059,1616.0
830.8499334196046,1616.0,756.6707493646358,1283.0749364635753
702.088684224313,-1284.0,682.2197176113236,-1284.0
747.131143828362,329.1143828362042,640.6989179718632,-1284.0
